ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
42,Trapping Rain Water,48.90%,Hard,3.401711573, https://leetcode.com/problems/trapping-rain-water
1086,High Five,79.70%,Easy,3.081613007, https://leetcode.com/problems/high-five
209,Minimum Size Subarray Sum,38.20%,Medium,2.761514441, https://leetcode.com/problems/minimum-size-subarray-sum
289,Game of Life,54.50%,Medium,2.441415875, https://leetcode.com/problems/game-of-life
4,Median of Two Sorted Arrays,29.60%,Hard,2.284107496, https://leetcode.com/problems/median-of-two-sorted-arrays
688,Knight Probability in Chessboard,48.90%,Medium,2.217128926, https://leetcode.com/problems/knight-probability-in-chessboard
387,First Unique Character in a String,53.40%,Easy,2.12805943, https://leetcode.com/problems/first-unique-character-in-a-string
592,Fraction Addition and Subtraction,49.00%,Medium,1.816279086, https://leetcode.com/problems/fraction-addition-and-subtraction
443,String Compression,41.30%,Easy,1.756722336, https://leetcode.com/problems/string-compression
862,Shortest Subarray with Sum at Least K,24.60%,Hard,1.738376782, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
166,Fraction to Recurring Decimal,21.60%,Medium,1.719216137, https://leetcode.com/problems/fraction-to-recurring-decimal
722,Remove Comments,34.60%,Medium,1.635540536, https://leetcode.com/problems/remove-comments
238,Product of Array Except Self,60.10%,Medium,1.565398678, https://leetcode.com/problems/product-of-array-except-self
70,Climbing Stairs,47.80%,Easy,1.515339965, https://leetcode.com/problems/climbing-stairs
49,Group Anagrams,56.90%,Medium,1.514137261, https://leetcode.com/problems/group-anagrams
780,Reaching Points,29.40%,Hard,1.477452786, https://leetcode.com/problems/reaching-points
706,Design HashMap,61.30%,Easy,1.440501179, https://leetcode.com/problems/design-hashmap
121,Best Time to Buy and Sell Stock,50.50%,Easy,1.343547532, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
1041,Robot Bounded In Circle,49.60%,Medium,1.331865654, https://leetcode.com/problems/robot-bounded-in-circle
1,Two Sum,45.60%,Easy,1.088933108, https://leetcode.com/problems/two-sum
11,Container With Most Water,50.80%,Medium,0.856516428, https://leetcode.com/problems/container-with-most-water
8,String to Integer (atoi),15.40%,Medium,0.833111481, https://leetcode.com/problems/string-to-integer-atoi
657,Robot Return to Origin,73.50%,Easy,0.756235976, https://leetcode.com/problems/robot-return-to-origin
